"",disease&hallmark,HGNC
107,Hepatocellular carcinoma/impairment of the mitochondrial integrity and biogenesis,TP53
108,Hepatocellular carcinoma/intercellular communication impairment,"TP53,CTNNB1"
109,Hepatocellular carcinoma/mitochondrial DNA instability,TP53
110,Hepatocellular carcinoma/nuclear DNA instability,TP53
111,Hepatocellular carcinoma/senescent cells accumulation,TP53
112,Hepatocellular carcinoma/stem cell exhaustion,"TP53,CTNNB1"
113,Hepatocellular carcinoma/transcriptional alterations,"TP53,CTNNB1"
114,Hirschsprung disease/accumulation of reactive oxygen species,DPYD
115,Hirschsprung disease/alterations in histone modifications,CREBBP
116,Hirschsprung disease/changes in the extracellular matrix structure,FBN1
117,Hirschsprung disease/degradation of proteolytic systems,"PLAU,RET"
118,Hirschsprung disease/stem cell exhaustion,ZHX2
119,Hirschsprung disease/transcriptional alterations,CREBBP
120,Leigh syndrome/accumulation of reactive oxygen species,"NDUFA9,SURF1,NDUFS3,NDUFS4"
121,Leigh syndrome/impairment of the mitochondrial integrity and biogenesis,"BCS1L,COX10"
122,"Leukemia, acute myeloid/alterations in histone modifications",JAK2
123,"Leukemia, acute myeloid/chromatin remodeling",NPM1
124,"Leukemia, acute myeloid/impairment of the mitochondrial integrity and biogenesis","TERT,CEBPA"
125,"Leukemia, acute myeloid/intercellular communication impairment",KRAS
126,"Leukemia, acute myeloid/nuclear DNA instability","TERT,NPM1"
127,"Leukemia, acute myeloid/senescent cells accumulation","TERT,NPM1"
128,"Leukemia, acute myeloid/telomere attrition",TERT
129,"Leukemia, acute myeloid/transcriptional alterations","JAK2,MLF1"
130,Lung cancer/INS/IGF-1 pathway dysregulation,PIK3CA
131,Lung cancer/TOR pathway dysregulation,PIK3CA
132,Lung cancer/accumulation of reactive oxygen species,CYP2A6
133,Lung cancer/alterations in DNA methylation,PIK3CA
134,Lung cancer/intercellular communication impairment,KRAS
135,Lung cancer/stem cell exhaustion,BRAF
136,"Macular degeneration, age-related/changes in the extracellular matrix structure",FBLN5
137,"Macular degeneration, age-related/degradation of proteolytic systems","HTRA1,C2,CFB,CFH"
138,"Macular degeneration, age-related/intercellular communication impairment","APOE,CX3CR1"
139,"Macular degeneration, age-related/sterile inflammation","C3,TLR4"
140,"Malaria, susceptibility to/accumulation of reactive oxygen species","HBB,G6PD"
141,"Malaria, susceptibility to/sterile inflammation","TNF,TIRAP"
142,"Mental retardation, autosomal dominant/alterations in DNA methylation",EHMT1
143,"Mental retardation, autosomal dominant/alterations in histone modifications","DYRK1A,EHMT1"
144,"Mental retardation, autosomal dominant/chromatin remodeling","EHMT1,SMARCA4,SMARCE1"
145,"Mental retardation, autosomal dominant/degradation of proteolytic systems",CTNNB1
146,"Mental retardation, autosomal dominant/intercellular communication impairment",CTNNB1
147,"Mental retardation, autosomal dominant/nuclear DNA instability",PPP2R1A
148,"Mental retardation, autosomal dominant/stem cell exhaustion",CTNNB1
149,"Mental retardation, autosomal dominant/transcriptional alterations","CTNNB1,DEAF1"
150,"Myocardial infarction, susceptibility to/INS/IGF-1 pathway dysregulation",ITGB3
151,"Myocardial infarction, susceptibility to/accumulation of reactive oxygen species",GCLC
152,"Myocardial infarction, susceptibility to/chromatin remodeling",ESR1
153,"Myocardial infarction, susceptibility to/degradation of proteolytic systems","LRP8,ACE"
154,"Myocardial infarction, susceptibility to/impairment of the mitochondrial integrity and biogenesis","GCLC,GCLM"
155,"Myocardial infarction, susceptibility to/intercellular communication impairment",LRP8
156,"Myocardial infarction, susceptibility to/stem cell exhaustion","ESR1,ACE"
157,"Myocardial infarction, susceptibility to/transcriptional alterations",ESR1
158,Obesity/AMPK pathway dysregulation,ADRB2
159,Obesity/transcriptional alterations,"PPARG,ADRB2"
160,Parkinson disease/accumulation of reactive oxygen species,"PARK7,SNCA"
161,Parkinson disease/alterations in histone modifications,PARK7
162,Parkinson disease/degradation of proteolytic systems,"UCHL1,HTRA2,PARK7"
163,Parkinson disease/impairment of the mitochondrial integrity and biogenesis,"MAPT,HTRA2,PARK7,SNCA"
164,Parkinson disease/intercellular communication impairment,"UCHL1,MAPT,SNCA,NR4A2"
165,Parkinson disease/nuclear DNA instability,PARK7
166,Parkinson disease/sterile inflammation,PARK7
167,Parkinson disease/transcriptional alterations,"TBP,NR4A2"
168,Prostate cancer/INS/IGF-1 pathway dysregulation,AR
169,Prostate cancer/alterations in histone modifications,BRCA2
170,Prostate cancer/intercellular communication impairment,"PTEN,AR"
171,Prostate cancer/nuclear DNA instability,BRCA2
172,Prostate cancer/senescent cells accumulation,"PTEN,BRCA2"
173,Prostate cancer/telomere attrition,BRCA2
174,Prostate cancer/transcriptional alterations,AR
175,Retinitis pigmentosa/accumulation of reactive oxygen species,CYGB
176,Retinitis pigmentosa/degradation of proteolytic systems,TOPORS
177,Retinitis pigmentosa/transcriptional alterations,TOPORS
178,Schizophrenia/INS/IGF-1 pathway dysregulation,AKT1
179,Schizophrenia/TOR pathway dysregulation,AKT1
180,Schizophrenia/accumulation of reactive oxygen species,MTHFR
181,Schizophrenia/chromatin remodeling,MTHFR
182,Schizophrenia/degradation of proteolytic systems,AKT1
183,Schizophrenia/impairment of the mitochondrial integrity and biogenesis,AKT1
184,Schizophrenia/intercellular communication impairment,"COMT,HTR2A,SYN2"
185,Schizophrenia/sterile inflammation,AKT1
186,Spastic paraplegia/impairment of proteins folding and stability,HSPD1
187,Spastic paraplegia/impairment of the mitochondrial integrity and biogenesis,HSPD1
188,Spastic paraplegia/intercellular communication impairment,PLP1
189,Spastic paraplegia/sterile inflammation,PLP1
190,Spinocerebellar ataxia/intercellular communication impairment,"CACNA1A,PRKCG"
191,Spinocerebellar ataxia/transcriptional alterations,TBP
